CODIGO ICCS;TIPO;PRESUNTO DELITO;TIPO DE ARMA;FECHA;HORA;GENERO;EDAD;NACIONALIDAD;ETNIA;PROVINCIA;CANTON;LATITUD;LONGITUD
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-04;16:30:00;HOMBRE;29;ECUATORIANO;SE DESCONOCE;NAPO;TENA;-1.000858841;-77.814333259
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-04;15:00:00;HOMBRE;23;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2246635;-79.9456905
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-04;15:00:00;MUJER;29;ECUATORIANO;SE DESCONOCE;NAPO;TENA;-1.000912746;-77.810916097
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-05;23:00:00;HOMBRE;25;ECUATORIANO;KICHWA;NAPO;CARLOS JULIO AROSEMENA TOLA;-1.140259776;-77.849898729
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-05;20:30:00;HOMBRE;21;ECUATORIANO;MESTIZO/A;GUAYAS;BALZAR;-1.358477121;-79.899772227
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-05;20:30:00;MUJER;23;ECUATORIANO;MESTIZO/A;GUAYAS;BALZAR;-1.358413001;-79.899689866
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-05;20:30:00;HOMBRE;22;ECUATORIANO;MESTIZO/A;GUAYAS;BALZAR;-1.358479831;-79.899768097
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-05;11:00:00;HOMBRE;28;ECUATORIANO;SE DESCONOCE;GUAYAS;GUAYAQUIL;-2.126289;-79.9165104
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-05;23:00:00;HOMBRE;17;ECUATORIANO;KICHWA;NAPO;CARLOS JULIO AROSEMENA TOLA;-1.141082903;-77.850239979
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-05;20:30:00;HOMBRE;24;ECUATORIANO;MESTIZO/A;GUAYAS;BALZAR;-1.358407816;-79.899663928
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-05;19:50:00;HOMBRE;16;ECUATORIANO;MESTIZO/A;GUAYAS;BALZAR;-1.365841652;-79.907053076
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-05;20:30:00;MUJER;21;ECUATORIANO;MESTIZO/A;GUAYAS;BALZAR;-1.358461857;-79.899648762
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-05;11:00:00;HOMBRE;24;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.126289;-79.9165104
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-05;20:30:00;HOMBRE;29;ECUATORIANO;MESTIZO/A;GUAYAS;BALZAR;-1.358489084;-79.899746808
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-05;20:30:00;HOMBRE;25;ECUATORIANO;MESTIZO/A;GUAYAS;BALZAR;-1.358595106;-79.89969259
1010201;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-05;14:00:00;HOMBRE;32;ECUATORIANO;SE DESCONOCE;COTOPAXI;LATACUNGA;-0.872558004;-78.63161678
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-05;19:45:00;HOMBRE;32;ECUATORIANO;MONTUBIO/A;MANABI;EL CARMEN;-0.275356194;-79.456880093
1010101;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-05;17:00:00;HOMBRE;25;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.157887413;-79.883136749
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-05;20:30:00;HOMBRE;31;ECUATORIANO;MESTIZO/A;GUAYAS;BALZAR;-1.358467632;-79.899685355
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-05;11:00:00;HOMBRE;23;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.126289;-79.9165104
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-05;23:00:00;HOMBRE;26;PERUANO;SE DESCONOCE;NAPO;CARLOS JULIO AROSEMENA TOLA;-1.139442311;-77.849671958
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-05;11:00:00;HOMBRE;18;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.126289;-79.9165104
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-06;12:15:00;HOMBRE;37;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.164202873;-79.892320633
1010202;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-06;13:30:00;HOMBRE;31;ECUATORIANO;MESTIZO/A;GUAYAS;DURAN;-2.182514765;-79.838800571
1010202;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-06;13:30:00;HOMBRE;21;ECUATORIANO;MESTIZO/A;GUAYAS;DURAN;-2.182514765;-79.838800571
1010202;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-06;13:30:00;HOMBRE;18;ECUATORIANO;MESTIZO/A;GUAYAS;DURAN;-2.182514765;-79.838800571
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-06;12:15:00;HOMBRE;27;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.163868841;-79.89225626
1010202;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-06;13:30:00;HOMBRE;25;ECUATORIANO;MESTIZO/A;GUAYAS;DURAN;-2.182514765;-79.838800571
1010101;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-06;21:00:00;MUJER;47;ECUATORIANO;MESTIZO/A;GUAYAS;MILAGRO;-2.139659834;-79.599393904
2022102;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;ARMAS DE FUEGO;2023-01-06;01:00:00;HOMBRE;27;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.2764958;-79.1817956
1010202;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-06;13:30:00;HOMBRE;20;ECUATORIANO;MESTIZO/A;GUAYAS;DURAN;-2.182514765;-79.838800571
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-06;17:30:00;HOMBRE;32;ECUATORIANO;MULATO/A;ESMERALDAS;ESMERALDAS;0.932393521;-79.661934972
1010202;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-06;13:30:00;HOMBRE;19;ECUATORIANO;MESTIZO/A;GUAYAS;DURAN;-2.182514765;-79.838800571
1010202;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-06;13:30:00;HOMBRE;23;ECUATORIANO;MESTIZO/A;GUAYAS;DURAN;-2.182514765;-79.838800571
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-07;23:35:00;HOMBRE;29;ECUATORIANO;MESTIZO/A;PICHINCHA;RUMIÐAHUI;-0.32485216;-78.462306261
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-07;23:35:00;HOMBRE;27;ECUATORIANO;MESTIZO/A;PICHINCHA;RUMIÐAHUI;-0.32487982;-78.462338448
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-07;23:35:00;HOMBRE;20;ECUATORIANO;MESTIZO/A;PICHINCHA;RUMIÐAHUI;-0.324751076;-78.462381363
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-07;23:35:00;MUJER;25;ECUATORIANO;MESTIZO/A;PICHINCHA;RUMIÐAHUI;-0.32487982;-78.462209702
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-07;23:35:00;HOMBRE;22;ECUATORIANO;MESTIZO/A;PICHINCHA;RUMIÐAHUI;-0.324815448;-78.462231159
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-07;23:35:00;HOMBRE;16;ECUATORIANO;MESTIZO/A;PICHINCHA;RUMIÐAHUI;-0.324600875;-78.462338448
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-07;11:35:00;MUJER;24;ECUATORIANO;MESTIZO/A;PICHINCHA;RUMIÐAHUI;-0.324836906;-78.46231699
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-07;23:35:00;HOMBRE;25;ECUATORIANO;MESTIZO/A;PICHINCHA;RUMIÐAHUI;-0.32496565;-78.462338448
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-08;17:30:00;HOMBRE;20;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2504;-79.8763
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-08;07:00:00;HOMBRE;22;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.1004504;-79.9213177
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-08;17:30:00;HOMBRE;17;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2504;-79.8763
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-08;17:30:00;HOMBRE;20;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2504;-79.8763
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-08;17:30:00;HOMBRE;25;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2504;-79.8763
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-08;02:20:00;HOMBRE;22;ECUATORIANO;MESTIZO/A;PICHINCHA;QUITO;-0.1232524;-78.5097838
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-08;07:30:00;HOMBRE;28;ECUATORIANO;MESTIZO/A;PICHINCHA;QUITO;-0.2358595;-78.4845233
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-08;17:30:00;HOMBRE;16;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2504;-79.8763
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-09;16:20:00;HOMBRE;0;COLOMBIANO;MESTIZO/A;SUCUMBIOS;LAGO AGRIO;0.0979943;-76.8966273
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-09;10:00:00;MUJER;30;ECUATORIANO;MESTIZO/A;PICHINCHA;QUITO;-0.0837245;-78.4726174
1010101;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-10;14:00:00;MUJER;26;ECUATORIANO;MESTIZO/A;IMBABURA;COTACACHI;0.372968;-78.256967
NULL;DETENIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-10;22:30:00;HOMBRE;31;VENEZOLANO;MESTIZO/A;LOJA;LOJA;-3.9797078;-79.2012447
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;ARMAS DE FUEGO;2023-01-11;21:25:00;HOMBRE;16;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2305258;-79.9390494
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-11;02:30:00;HOMBRE;29;COLOMBIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.157599615;-79.891462326
NULL;DETENIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-11;05:00:00;MUJER;26;VENEZOLANO;MESTIZO/A;LOJA;LOJA;-3.9797078;-79.2012447
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-11;02:30:00;HOMBRE;22;VENEZOLANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.157524566;-79.89143014
NULL;DETENIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-11;05:00:00;HOMBRE;22;ECUATORIANO;MESTIZO/A;LOJA;LOJA;-3.9797078;-79.2012447
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-11;17:30:00;HOMBRE;27;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.188450644;-79.928305149
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-11;21:25:00;HOMBRE;15;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2309157;-79.9386764
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-12;01:00:00;HOMBRE;26;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.248718076;-79.158315867
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-12;01:00:00;HOMBRE;29;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.248733573;-79.158295539
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-12;20:00:00;HOMBRE;24;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.1081602;-79.9576492
2022101;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-12;01:00:00;HOMBRE;23;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.248713606;-79.158285749
1010902;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-12;14:00:00;HOMBRE;49;ECUATORIANO;MESTIZO/A;LOS RIOS;VINCES;-1.556161261;-79.750185013
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-13;23:55:00;HOMBRE;59;ECUATORIANO;MESTIZO/A;GUAYAS;DURAN;-2.175003757;-79.854406979
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-13;16:30:00;HOMBRE;33;ECUATORIANO;SE DESCONOCE;PICHINCHA;QUITO;-0.15231258;-78.472208977
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-13;16:30:00;HOMBRE;24;ECUATORIANO;SE DESCONOCE;PICHINCHA;QUITO;-0.152205292;-78.472069502
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-13;16:30:00;HOMBRE;29;VENEZOLANO;SE DESCONOCE;PICHINCHA;QUITO;-0.152214177;-78.472101688
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-13;16:30:00;HOMBRE;20;ECUATORIANO;SE DESCONOCE;PICHINCHA;QUITO;-0.152404613;-78.472080231
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-13;16:30:00;HOMBRE;29;ECUATORIANO;SE DESCONOCE;PICHINCHA;QUITO;-0.152237478;-78.472123146
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;10:00:00;HOMBRE;29;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2409458;-79.909934
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;17:20:00;HOMBRE;24;ECUATORIANO;MESTIZO/A;EL ORO;SANTA ROSA;-3.44482189;-79.961382151
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;08:00:00;HOMBRE;23;ECUATORIANO;MESTIZO/A;GUAYAS;EL TRIUNFO;-2.3253679;-79.4089431
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;03:45:00;HOMBRE;24;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2001043;-80.091244
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;17:20:00;HOMBRE;30;ECUATORIANO;MESTIZO/A;EL ORO;SANTA ROSA;-3.444816536;-79.961398244
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;17:20:00;HOMBRE;21;ECUATORIANO;MESTIZO/A;EL ORO;SANTA ROSA;-3.44482189;-79.961392879
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;02:45:00;HOMBRE;42;ECUATORIANO;MESTIZO/A;GUAYAS;DURAN;-2.1617842;-79.7932301
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;01:15:00;HOMBRE;50;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2553043;-79.9031445
1010201;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;13:00:00;HOMBRE;33;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.0959307;-79.9351055
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-14;05:30:00;HOMBRE;30;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.2297047;-79.9096793
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-15;08:25:00;HOMBRE;19;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.267157692;-79.891397953
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-15;17:30:00;HOMBRE;28;ECUATORIANO;INDÍGENA;SUCUMBIOS;SHUSHUFINDI;-0.186289817;-76.647251847
1010201;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-15;22:00:00;HOMBRE;15;ECUATORIANO;MESTIZO/A;MANABI;PEDERNALES;-0.026336;-80.067909
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-17;22:00:00;HOMBRE;19;VENEZOLANO;SE DESCONOCE;NAPO;TENA;-1.0002372;-77.814165492
2022102;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-17;07:00:00;HOMBRE;26;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.251907734;-79.119683505
2022102;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-17;07:00:00;HOMBRE;16;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.252195235;-79.119758611
1010201;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-17;14:43:00;HOMBRE;25;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.0550814;-79.9456817
2022102;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-17;07:00:00;HOMBRE;52;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.251864819;-79.119758605
2022102;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-17;07:00:00;HOMBRE;22;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.252004458;-79.119511843
2022102;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-17;07:00:00;HOMBRE;18;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.251946457;-79.119801521
2022102;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-17;03:00:00;HOMBRE;21;ECUATORIANO;MESTIZO/A;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;-0.250864188;-79.128041265
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;2023-01-17;01:28:00;HOMBRE;24;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;ESMERALDAS;ESMERALDAS;0.921151171;-79.668790698
1010201;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-17;22:00:00;HOMBRE;20;VENEZOLANO;SE DESCONOCE;NAPO;TENA;-1.000159964;-77.814171741
1010201;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-18;13:00:00;HOMBRE;23;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;GUAYAS;GUAYAQUIL;-2.051950849;-79.944065809
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-18;01:30:00;HOMBRE;25;ECUATORIANO;MESTIZO/A;AZUAY;CUENCA;-2.929274128;-79.007234573
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-18;01:30:00;HOMBRE;29;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;AZUAY;CUENCA;-2.929295558;-79.007320404
1010101;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-18;16:45:00;HOMBRE;32;ECUATORIANO;MESTIZO/A;PICHINCHA;QUITO;-0.204939107;-78.494701982
2022101;DETENIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;ARMAS DE FUEGO;2023-01-19;00:30:00;HOMBRE;19;ECUATORIANO;NEGRO/A;GUAYAS;GUAYAQUIL;-2.206087552;-79.907784159
